id,ScientificName,CommonName,AcceptedSymbol,Symbol,State,Category,FamilyCommonName,Duration,GrowthHabit,NativeStatus,ActiveGrowthPeriod,FlowerColor,FoliageColor,FoliagePorositySummer,FoliagePorosityWinter,FruitColor,GrowthRate,MaxHeight20Yrs,MatureHeight,Lifespan,ResproutAbility,AdaptedCoarseSoils,AdaptedMediumSoils,AdaptedFineSoils,AnaerobicTolerance,DroughtTolerance,MoistureUse,Precipitation_Minimum,Precipitation_Maximum,RootDepthMinimum,ShadeTolerance,TemperatureMinimum,BloomPeriod,PalatableBrowseAnimal,PalatableGrazeAnimal,PalatableHuman
3489,Senecio aquaticus ssp. barbareifolius,,SEAQB,SEAQB,<strong>USA</strong> (NJ),Dicot,Aster family,"Biennial, Perennial",Forb/herb,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3490,Pentas lanceolata,Egyptian starcluster,PELA19,PELA19,"<strong>USA</strong> (HI), <strong>USA+</strong> (PR)",Dicot,Madder family,Perennial,"Subshrub, Shrub","HI (I), PR (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3491,Lecanora salicicola,rim lichen,LESA6,LESA6,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3492,Epilichen scabrosus,epilichen lichen,EPSC2,EPSC2,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3493,Carex melanostachya,Great Plains sedge,CAME10,CAME10,"<strong>USA</strong> (KS, NE)",Monocot,Sedge family,Perennial,Graminoid,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3494,Acacia hemiteles,,ACHE12,ACHE12,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3495,Trichostema austromontanum,San Jacinto bluecurls,TRAU,TRAU,"<strong>USA</strong> (NV), <strong>CAN</strong> (CA)",Dicot,Mint family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3496,Ptychomitrium leibergii,Leiberg's ptychomitrium moss,PTLE,PTLE,,Moss,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3497,Metzgeria leptoneura,,MELE7,MELE7,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3498,Grindelia subalpina var. subalpina,subalpine gumweed,GRSUS,GRSUS,"<strong>USA</strong> (CO, NM, WY)",Dicot,Aster family,Biennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3499,Crepis atribarba ssp. originalis,slender hawksbeard,CRATO,CRATO,"<strong>USA</strong> (ID, MT, NE, NV, OR, UT, WA, WY), <strong>CAN</strong> (BC)",Dicot,Aster family,Perennial,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3500,Astragalus debequaeus,Debeque milkvetch,ASDE11,ASDE11,<strong>USA</strong> (CO),Dicot,Pea family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3501,Senecio arizonicus,Arizona ragwort,SEAR3,SEAR3,"<strong>USA</strong> (AZ, NM)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3502,Pentas longiflora,,PELO11,PELO11,,Dicot,Madder family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3503,Lecanora saligna,rim lichen,LESA7,LESA7,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3504,Epilichen stellatus,,EPST4,EPST4,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3505,Carex membranacea,fragile sedge,CAME4,CAME4,"<strong>USA</strong> (AK), <strong>CAN</strong> (BC, LB, NT, NU, QC, YT)",Monocot,Sedge family,Perennial,Graminoid,"AK (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3506,Acacia holosericea,candelabra wattle,ACHO2,ACHO2,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3507,Trichostema austromontanum ssp. austromontanum,San Jacinto bluecurls,TRAUA2,TRAUA2,"<strong>USA</strong> (NV), <strong>CAN</strong> (CA)",Dicot,Mint family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3508,Ptychomitrium serratum,serrate ptychomitrium moss,PTSE2,PTSE2,,Moss,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3509,Metzgeria leptoneura var. leptoneura,,MELEL,MELEL,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3510,Groutiella,groutiella moss,GROUT,GROUT,,Moss,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3511,Crepis bakeri,Baker's hawksbeard,CRBA2,CRBA2,"<strong>USA</strong> (ID, NV, OR, WA), <strong>CAN</strong> (CA)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3512,Astragalus demetrii,,ASDE21,ASDE21,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3513,Senecio aronicoides,rayless ragwort,SEAR4,SEAR4,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Dicot,Aster family,"Biennial, Perennial",Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3514,Penthorum,penthorum,PENTH,PENTH,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), <strong>CAN</strong> (BC, MB, NB, ON, QC)",Dicot,Stonecrop family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3515,Lecanora salina,rim lichen,LESA8,LESA8,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3516,Epilobium,willowherb,EPILO,EPILO,"<strong>USA</strong> (AK, AL, AR, AZ, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Dicot,Evening Primrose family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3517,Carex ×mendica,,CAME27,CAME27,"<strong>CAN</strong> (LB, ON, QC)",Monocot,Sedge family,Perennial,Graminoid,CAN (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3518,Acacia horrida,,ACHO4,ACHO4,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3519,Trichostema austromontanum ssp. compactum,San Jacinto bluecurls,TRAUC,TRAUC,<strong>CAN</strong> (CA),Dicot,Mint family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3520,Ptychosperma,ptychosperma,PTYCH4,PTYCH4,<strong>USA</strong> (FL),Monocot,Palm family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3521,Metzgeria leptoneura var. polychaeta,,MELEP,MELEP,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3522,Groutiella tomentosa,tomentose groutiella moss,GRTO3,GRTO3,,Moss,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3523,Crepis bakeri ssp. bakeri,Baker's hawksbeard,CRBAB,CRBAB,"<strong>USA</strong> (NV, OR, WA), <strong>CAN</strong> (CA)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3524,Astragalus depressus,,ASDE22,ASDE22,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3525,Senecio astephanus,San Gabriel ragwort,SEAS2,SEAS2,<strong>CAN</strong> (CA),Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3526,Penthorum sedoides,ditch stonecrop,PESE6,PESE6,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), <strong>CAN</strong> (BC, MB, NB, ON, QC)",Dicot,Stonecrop family,Perennial,Forb/herb,"L48 (N), CAN (N)",Spring,Yellow,Green,Porous,Porous,,Slow,0,3,Moderate,No,No,No,Yes,Low,Medium,Medium,30,50,14,Intermediate,-28,Spring,,Low,No
3527,Lecanora sambuci,rim lichen,LESA9,LESA9,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3528,Epilobium anagallidifolium,pimpernel willowherb,EPAN4,EPAN4,"<strong>USA</strong> (AK, CO, ID, ME, MT, NC, NH, NM, NV, NY, OR, TN, UT, WA, WY), <strong>CAN</strong> (AB, BC, LB, NF, NT, NU, QC, YT, CA), <strong>DEN</strong> (GL)",Dicot,Evening Primrose family,Perennial,Forb/herb,"L48 (N), AK (N), CAN (N), GL (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3529,Carex mendocinensis,Mendocino sedge,CAME5,CAME5,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Monocot,Sedge family,Perennial,Graminoid,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3530,Acacia howittii,sticky wattle,ACHO5,ACHO5,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3531,Trichostema brachiatum,fluxweed,TRBR5,TRBR5,"<strong>USA</strong> (AL, AR, AZ, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV), <strong>CAN</strong> (ON, QC)",Dicot,Mint family,Annual,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3532,Ptychosperma elegans,Alexander palm,PTEL,PTEL,<strong>USA</strong> (FL),Monocot,Palm family,Perennial,Tree,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3533,Metzgeria myriopoda,,MEMY,MEMY,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3534,Groutiella tumidula,groutiella moss,GRTU3,GRTU3,,Moss,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3535,Crepis bakeri ssp. cusickii,Cusick's hawksbeard,CRBAC,CRBAC,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3536,Astragalus desereticus,deseret milkvetch,ASDE2,ASDE2,<strong>USA</strong> (UT),Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3537,Senecio atratus,tall blacktip ragwort,SEAT,SEAT,"<strong>USA</strong> (CO, NM, UT, WY)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3538,Pentodon,pentodon,PENTO,PENTO,"<strong>USA</strong> (AR, FL, GA, LA, SC, TX)",Dicot,Madder family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3539,Lecanora scotopholis,rim lichen,LESC5,LESC5,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3540,Epilobium arcticum,arctic willowherb,EPAR2,EPAR2,"<strong>USA</strong> (AK), <strong>CAN</strong> (NT, NU, QC, YT), <strong>DEN</strong> (GL)",Dicot,Evening Primrose family,Perennial,Forb/herb,"AK (N), CAN (N), GL (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3541,Carex merritt-fernaldii,Fernald's sedge,CAME12,CAME12,"<strong>USA</strong> (CT, MA, ME, MI, MN, NH, NY, OH, RI, VT, WI), <strong>CAN</strong> (MB, NB, ON, QC)",Monocot,Sedge family,Perennial,Graminoid,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3542,Acacia imbricata,imbricate wattle,ACIM4,ACIM4,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3543,Trichostema dichotomum,forked bluecurls,TRDI2,TRDI2,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), <strong>CAN</strong> (ON, QC)",Dicot,Mint family,Annual,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3544,Ptychosperma macarthuri,Macarthur feather palm,PTMA8,PTMA8,<strong>USA</strong> (FL),Monocot,Palm family,Perennial,Tree,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3545,Metzgeria temperata,,METE11,METE11,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3546,Grusonia,,GRUSO,GRUSO,"<strong>USA</strong> (AZ, NM, NV, TX, UT), <strong>CAN</strong> (CA)",Dicot,Cactus family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3547,Crepis bakeri ssp. idahoensis,Idaho hawksbeard,CRBAI,CRBAI,<strong>USA</strong> (ID),Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3548,Astragalus desperatus,rimrock milkvetch,ASDE3,ASDE3,"<strong>USA</strong> (AZ, CO, NM, UT)",Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3549,Senecio bigelovii,nodding ragwort,SEBI2,SEBI2,"<strong>USA</strong> (AZ, CO, NM, UT, WY)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3550,Pentodon pentandrus,Hale's pentodon,PEPE14,PEPE14,"<strong>USA</strong> (AR, FL, GA, LA, SC, TX)",Dicot,Madder family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3551,Lecanora semitensis,rim lichen,LESE9,LESE9,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3552,Epilobium billardierianum,aboriginal willowherb,EPBI2,EPBI2,<strong>USA</strong> (HI),Dicot,Evening Primrose family,Perennial,Forb/herb,HI (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3553,Carex mertensii,Mertens' sedge,CAME6,CAME6,"<strong>USA</strong> (AK, ID, MT, OR, WA), <strong>CAN</strong> (AB, BC, CA)",Monocot,Sedge family,Perennial,Graminoid,"L48 (N), AK (N), CAN (N)",Spring and Summer,Purple,Green,Moderate,Porous,Brown,Slow,0,4,Short,No,Yes,Yes,No,None,Medium,Medium,24,60,9,Tolerant,-28,Late Spring,Low,Low,No
3554,Acacia implexa,screw-pod wattle,ACIM5,ACIM5,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3555,Trichostema lanatum,woolly bluecurls,TRLA3,TRLA3,<strong>CAN</strong> (CA),Dicot,Mint family,Perennial,"Subshrub, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3556,Puccinellia,alkaligrass,PUCCI,PUCCI,"<strong>USA</strong> (AK, AZ, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Monocot,Grass family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3557,Metzgeria uncigera,,MEUN3,MEUN3,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3558,Grusonia aggeria,Big Bend pricklypear,GRAG3,GRAG3,<strong>USA</strong> (TX),Dicot,Cactus family,Perennial,Shrub,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3559,Crepis biennis,rough hawksbeard,CRBI3,CRBI3,"<strong>USA</strong> (MI, NC, NY, OH, PA, VT), <strong>CAN</strong> (NF)",Dicot,Aster family,Perennial,Forb/herb,"L48 (I), CAN (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3560,Astragalus desperatus var. conspectus,rimrock milkvetch,ASDEC,ASDEC,"<strong>USA</strong> (AZ, UT)",Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3561,Senecio bigelovii var. bigelovii,nodding ragwort,SEBIB,SEBIB,"<strong>USA</strong> (AZ, NM)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3562,Pentzia,pentzia,PENTZ,PENTZ,"<strong>USA</strong> (AZ, NM)",Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3563,Lecanora sierrae,,LESI9,LESI9,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3564,Epilobium billardierianum ssp. cinereum,aboriginal willowherb,EPBIC,EPBIC,<strong>USA</strong> (HI),Dicot,Evening Primrose family,Perennial,Forb/herb,HI (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3565,Carex mesochorea,midland sedge,CAME13,CAME13,"<strong>USA</strong> (AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MO, NC, NE, NJ, NY, OH, PA, SC, TN, TX, VA, WI, WV), <strong>CAN</strong> (ON, QC)",Monocot,Sedge family,Perennial,Graminoid,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3566,Acacia irrorata,green wattle,ACIR,ACIR,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3567,Trichostema lanceolatum,vinegarweed,TRLA4,TRLA4,"<strong>USA</strong> (OR, WA), <strong>CAN</strong> (CA)",Dicot,Mint family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3568,Puccinellia agrostidea,bent alkaligrass,PUAG,PUAG,<strong>USA</strong> (AK),Monocot,Grass family,Perennial,Graminoid,AK (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3569,Meximalva,meximalva,MEXIM,MEXIM,<strong>USA</strong> (TX),Dicot,Mallow family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3570,Grusonia clavata,club cholla,GRCL,GRCL,"<strong>USA</strong> (AZ, NM)",Dicot,Cactus family,Perennial,Shrub,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3571,Crepis bursifolia,Italian hawksbeard,CRBU3,CRBU3,<strong>CAN</strong> (CA),Dicot,Aster family,Perennial,"Subshrub, Forb/herb",L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3572,Astragalus desperatus var. desperatus,rimrock milkvetch,ASDED,ASDED,"<strong>USA</strong> (AZ, CO, NM, UT)",Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3573,Senecio bigelovii var. hallii,Hall's ragwort,SEBIH,SEBIH,"<strong>USA</strong> (AZ, CO, NM, UT, WY)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3574,Pentzia incana,African sheepbush,PEIN4,PEIN4,"<strong>USA</strong> (AZ, NM)",Dicot,Aster family,Perennial,Shrub,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3575,Lecanora sipeana,rim lichen,LESI4,LESI4,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3576,Epilobium brachycarpum,tall annual willowherb,EPBR3,EPBR3,"<strong>USA</strong> (AZ, CO, ID, KY, MN, MT, ND, NM, NV, OR, SD, UT, WA, WI, WY), <strong>CAN</strong> (AB, BC, MB, ON, QC, SK, CA)",Dicot,Evening Primrose family,Annual,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3577,Carex meyenii,Meyen's sedge,CAME14,CAME14,<strong>USA</strong> (HI),Monocot,Sedge family,Perennial,Graminoid,HI (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3578,Acacia iteaphylla,,ACIT2,ACIT2,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3579,Trichostema laxum,turpentine weed,TRLA5,TRLA5,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Dicot,Mint family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3580,Puccinellia americana,American alkaligrass,PUAM2,PUAM2,"<strong>USA</strong> (CT, DE, MA, ME, NH, NJ, NY, PA, RI)",Monocot,Grass family,Perennial,Graminoid,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3581,Meximalva filipes,texasfan,MEFI,MEFI,<strong>USA</strong> (TX),Dicot,Mallow family,Perennial,"Subshrub, Shrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3582,Grusonia emoryi,devil cholla,GREM,GREM,"<strong>USA</strong> (AZ, NM, TX)",Dicot,Cactus family,Perennial,Shrub,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3583,Crepis capillaris,smooth hawksbeard,CRCA3,CRCA3,"<strong>USA</strong> (AK, CO, CT, DC, DE, HI, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MO, MT, NC, ND, NH, NJ, NV, NY, OH, OR, PA, RI, TN, TX, UT, VA, VT, WA, WI, WV), <strong>CAN</strong> (AB, BC, NB, NS, ON, QC, CA)",Dicot,Aster family,"Annual, Biennial",Forb/herb,"L48 (I), AK (I), HI (I), CAN (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3584,Astragalus desperatus var. neeseae,Elizabeth's milkvetch,ASDEN,ASDEN,"<strong>USA</strong> (CO, UT)",Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3585,Senecio blochmaniae,dune ragwort,SEBL,SEBL,<strong>CAN</strong> (CA),Dicot,Aster family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3586,Pentzia lanata,,PELA25,PELA25,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3587,Lecanora sophodopsella,rim lichen,LESO3,LESO3,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3588,Epilobium canum,hummingbird trumpet,EPCA3,EPCA3,"<strong>USA</strong> (AZ, ID, NM, NV, OR, UT, WY), <strong>CAN</strong> (CA)",Dicot,Evening Primrose family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3589,Carex michauxiana,Michaux's sedge,CAMI15,CAMI15,"<strong>USA</strong> (MA, ME, MI, MN, NH, NY, PA, VT, WI), <strong>CAN</strong> (LB, MB, NB, NF, NS, ON, QC, SK), <strong>FRA</strong> (SPM)",Monocot,Sedge family,Perennial,Graminoid,"L48 (N), CAN (N), SPM (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3590,Acacia ixiophylla,,ACIX2,ACIX2,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3591,Trichostema micranthum,smallflower bluecurls,TRMI3,TRMI3,"<strong>USA</strong> (AZ), <strong>CAN</strong> (CA)",Dicot,Mint family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3592,Puccinellia andersonii,Anderson's alkaligrass,PUAN,PUAN,"<strong>USA</strong> (AK), <strong>CAN</strong> (MB, NT, NU, QC, YT), <strong>DEN</strong> (GL)",Monocot,Grass family,Perennial,Graminoid,"AK (N), CAN (N), GL (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3593,Mibora,sandgrass,MIBOR,MIBOR,"<strong>USA</strong> (MA, NY)",Monocot,Grass family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3594,Grusonia grahamii,Graham's pricklypear,GRGR6,GRGR6,"<strong>USA</strong> (NM, TX)",Dicot,Cactus family,Perennial,Shrub,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3595,Crepis elegans,elegant hawksbeard,CREL,CREL,"<strong>USA</strong> (AK, MT, WY), <strong>CAN</strong> (AB, BC, MB, NT, YT)",Dicot,Aster family,Perennial,Forb/herb,"L48 (N), AK (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3596,Astragalus desperatus var. petrophilus,rimrock milkvetch,ASDEP,ASDEP,<strong>USA</strong> (UT),Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3597,Senecio californicus,California ragwort,SECA,SECA,<strong>CAN</strong> (CA),Dicot,Aster family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3598,Pentzia sphaerocephala,,PESP10,PESP10,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3599,Lecanora stenospora,rim lichen,LEST10,LEST10,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3600,Epilobium canum ssp. angustifolium,hummingbird trumpet,EPCAA,EPCAA,<strong>CAN</strong> (CA),Dicot,Evening Primrose family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3601,Carex michelii,,CAMI47,CAMI47,,Monocot,Sedge family,,Graminoid,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
3602,Acacia jibberdingensis,,ACJI,ACJI,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
